cust_id,similar_customers
C0031,"[('C0025', 0.9999999819767099), ('C0003', 0.9999999713493515), ('C0076', 0.9999999581732782)]"
C0032,"[('C0077', 0.9999988112260131), ('C0091', 0.9999987113914188), ('C0049', 0.9999987058001466)]"
C0033,"[('C0077', 0.999928194931271), ('C0111', 0.9999224663308207), ('C0094', 0.9999221493030777)]"
C0034,"[('C0029', 0.9999999426851094), ('C0109', 0.9999999345084291), ('C0176', 0.9999999154025482)]"
C0035,"[('C0055', 0.999999942675764), ('C0068', 0.9999999382985573), ('C0024', 0.9999999191832792)]"
C0036,"[('C0116', 0.9999999484159406), ('C0047', 0.9999999469175157), ('C0072', 0.9999999218707891)]"
C0037,"[('C0182', 0.9999999914797197), ('C0164', 0.9999999907071229), ('C0064', 0.9999999695423296)]"
C0038,"[('C0160', 0.9999999984559216), ('C0008', 0.9999999717420458), ('C0136', 0.9999999196306486)]"
C0039,"[('C0004', 0.9999999697529154), ('C0162', 0.9999999685238461), ('C0181', 0.9999999684059613)]"
C0040,"[('C0141', 0.9999999830387477), ('C0016', 0.9999999647654726), ('C0168', 0.9999999382018783)]"
C0041,"[('C0193', 0.9999999831990897), ('C0070', 0.9999999826791783), ('C0090', 0.999999978781037)]"
C0042,"[('C0016', 0.9999999714982044), ('C0040', 0.9999998996374452), ('C0185', 0.9999998971005604)]"
C0043,"[('C0142', 0.9999999236731424), ('C0136', 0.9999998853081788), ('C0034', 0.9999998680965589)]"
C0044,"[('C0196', 0.9999999448596693), ('C0066', 0.9999999439319737), ('C0078', 0.999999939579134)]"
C0045,"[('C0090', 0.9999999851073768), ('C0068', 0.9999999784060581), ('C0193', 0.9999999727462344)]"
C0046,"[('C0122', 0.9999999995056021), ('C0125', 0.9999999873370076), ('C0139', 0.9999999867636551)]"
C0047,"[('C0008', 0.9999999543188519), ('C0036', 0.9999999469175157), ('C0098', 0.999999944793081)]"
C0048,"[('C0184', 0.9999999908759066), ('C0148', 0.9999999776086962), ('C0188', 0.9999999725278718)]"
C0049,"[('C0094', 0.9999997478346943), ('C0010', 0.9999996628853765), ('C0111', 0.9999994810069367)]"
C0050,"[('C0185', 0.9999999461077498), ('C0115', 0.9999999452708899), ('C0154', 0.9999999309179564)]"
C0051,"[('C0023', 0.9999999800830148), ('C0123', 0.9999999679773419), ('C0054', 0.9999999675154143)]"
C0052,"[('C0195', 0.9999999576968253), ('C0174', 0.999999909180361), ('C0159', 0.9999999033341731)]"
C0053,"[('C0149', 0.999999998290751), ('C0200', 0.9999999817939468), ('C0145', 0.9999999790220853)]"
C0054,"[('C0188', 0.9999999894724341), ('C0123', 0.999999984085592), ('C0082', 0.9999999821843805)]"
C0055,"[('C0072', 0.9999999906521752), ('C0035', 0.999999942675764), ('C0162', 0.9999999281404601)]"
C0056,"[('C0093', 0.9999999756224462), ('C0090', 0.9999999460059058), ('C0143', 0.9999999451490923)]"
C0057,"[('C0167', 0.999999975825569), ('C0041', 0.9999999756555011), ('C0177', 0.9999999739688649)]"
C0058,"[('C0042', 0.9999955609240254), ('C0015', 0.9999950057670884), ('C0198', 0.9999949476468823)]"
C0059,"[('C0138', 0.9999999874510772), ('C0117', 0.9999999842457011), ('C0079', 0.9999999804757237)]"
C0060,"[('C0151', 0.9998663417624504), ('C0097', 0.9997698920948367), ('C0014', 0.999757001246658)]"
C0061,"[('C0103', 0.9999999955387079), ('C0074', 0.9999998632054314), ('C0023', 0.9999998489106612)]"
C0062,"[('C0073', 0.9999998058880375), ('C0019', 0.9999997906744814), ('C0088', 0.9999997846826699)]"
C0063,"[('C0167', 0.9999999463843963), ('C0070', 0.9999998953810043), ('C0057', 0.9999998673103773)]"
C0064,"[('C0135', 0.9999999970375921), ('C0114', 0.9999999768448335), ('C0105', 0.9999999715170343)]"
C0065,"[('C0139', 0.99999998166915), ('C0156', 0.9999999810493316), ('C0177', 0.9999999810002768)]"
C0066,"[('C0115', 0.9999999474032718), ('C0044', 0.9999999439319737), ('C0196', 0.99999994249386)]"
C0067,"[('C0200', 0.9999999677377169), ('C0046', 0.9999999668271358), ('C0145', 0.9999999666583376)]"
C0068,"[('C0156', 0.999999984752779), ('C0018', 0.9999999827901092), ('C0194', 0.9999999786828135)]"
C0069,"[('C0127', 0.9999999960123975), ('C0105', 0.9999999699718743), ('C0167', 0.9999999358443138)]"
C0070,"[('C0081', 0.999999992947605), ('C0041', 0.9999999826791783), ('C0179', 0.9999999614386722)]"
C0071,"[('C0147', 0.9999998988616325), ('C0003', 0.9999998627235034), ('C0031', 0.9999998524625762)]"
C0072,"[('C0055', 0.9999999906521752), ('C0047', 0.9999999253376368), ('C0084', 0.9999999242174412)]"
C0073,"[('C0019', 0.9999999835325953), ('C0075', 0.9999999484233404), ('C0086', 0.9999999176746803)]"
C0074,"[('C0023', 0.9999999865420128), ('C0141', 0.9999999643680092), ('C0100', 0.9999999557786245)]"
C0075,"[('C0027', 0.9999999798679627), ('C0142', 0.9999999774910613), ('C0136', 0.999999953558728)]"
C0076,"[('C0031', 0.9999999581732782), ('C0113', 0.9999999410148868), ('C0025', 0.9999999095388247)]"
C0077,"[('C0111', 0.9999988906804922), ('C0032', 0.9999988112260131), ('C0049', 0.9999983845529592)]"
C0078,"[('C0044', 0.999999939579134), ('C0168', 0.9999999136526253), ('C0187', 0.999999905865298)]"
C0079,"[('C0059', 0.9999999804757237), ('C0117', 0.9999999600153344), ('C0185', 0.9999999518613548)]"
C0080,"[('C0178', 0.9999997462419514), ('C0089', 0.9999997140763981), ('C0152', 0.9999997130595246)]"
C0081,"[('C0070', 0.999999992947605), ('C0041', 0.9999999703538289), ('C0090', 0.9999999564954034)]"
C0082,"[('C0155', 0.9999999908615094), ('C0171', 0.9999999906311179), ('C0188', 0.9999999865396164)]"
C0083,"[('C0144', 0.9999981806700482), ('C0032', 0.9999980595972868), ('C0134', 0.9999980593819918)]"
C0084,"[('C0161', 0.9999999735271556), ('C0165', 0.9999999630524564), ('C0027', 0.9999999586776164)]"
C0085,"[('C0006', 0.9999999785647304), ('C0126', 0.9999999744903597), ('C0118', 0.9999999719846865)]"
C0086,"[('C0166', 0.9999999865480039), ('C0172', 0.9999999759707172), ('C0124', 0.999999948723174)]"
C0087,"[('C0137', 0.999999988488591), ('C0155', 0.9999999849418865), ('C0163', 0.9999999839197923)]"
C0088,"[('C0106', 0.9999999579506894), ('C0098', 0.9999999071568992), ('C0027', 0.9999998903492479)]"
C0089,"[('C0100', 0.9999999616099865), ('C0170', 0.9999999185573041), ('C0074', 0.9999999142458617)]"
C0090,"[('C0045', 0.9999999851073768), ('C0041', 0.999999978781037), ('C0193', 0.9999999777178754)]"
C0091,"[('C0134', 0.999999747813198), ('C0109', 0.9999997180890849), ('C0034', 0.9999994376869956)]"
C0092,"[('C0200', 0.9999999915410165), ('C0022', 0.9999999888219109), ('C0145', 0.9999999762606215)]"
C0093,"[('C0143', 0.9999999932119603), ('C0145', 0.9999999923319518), ('C0177', 0.999999982163796)]"
C0094,"[('C0049', 0.9999997478346943), ('C0111', 0.9999992971588182), ('C0010', 0.999999030689638)]"
C0095,"[('C0192', 0.9999999117058003), ('C0112', 0.9999999100710667), ('C0120', 0.9999998291371133)]"
C0096,"[('C0115', 0.9999999709932652), ('C0006', 0.9999999630798356), ('C0126', 0.9999999623335616)]"
C0097,"[('C0014', 0.9999860444519737), ('C0128', 0.9999763905374587), ('C0110', 0.9999761464512916)]"
C0098,"[('C0106', 0.99999994953507), ('C0047', 0.999999944793081), ('C0036', 0.9999999115720192)]"
C0099,"[('C0013', 0.9999999915861797), ('C0155', 0.9999999876451454), ('C0082', 0.9999999847353814)]"
C0100,"[('C0023', 0.9999999764664848), ('C0170', 0.9999999703572511), ('C0051', 0.9999999642962987)]"
C0101,"[('C0177', 0.9999999998549575), ('C0193', 0.9999999986278706), ('C0156', 0.9999999893334242)]"
C0102,"[('C0148', 0.9999999916031693), ('C0087', 0.9999999822880326), ('C0028', 0.9999999820733655)]"
C0103,"[('C0061', 0.9999999955387079), ('C0074', 0.9999998893334459), ('C0023', 0.999999886746628)]"
C0104,"[('C0163', 0.9999999947546925), ('C0155', 0.9999999873979871), ('C0087', 0.9999999787502942)]"
C0105,"[('C0127', 0.999999986970693), ('C0114', 0.9999999758310837), ('C0064', 0.9999999715170343)]"
C0106,"[('C0088', 0.9999999579506894), ('C0098', 0.99999994953507), ('C0161', 0.9999999415768793)]"
C0107,"[('C0108', 0.999999995077811), ('C0099', 0.9999999668708379), ('C0137', 0.9999999615810546)]"
C0108,"[('C0107', 0.999999995077811), ('C0099', 0.9999999817526419), ('C0200', 0.9999999767785609)]"
C0109,"[('C0134', 0.9999999553493608), ('C0034', 0.9999999345084291), ('C0029', 0.9999998303850355)]"
C0110,"[('C0128', 0.999999906515378), ('C0159', 0.9999997586109697), ('C0189', 0.9999996918114237)]"
C0111,"[('C0121', 0.9999997317583462), ('C0049', 0.9999994810069367), ('C0010', 0.9999993641615729)]"
C0112,"[('C0192', 0.9999999743614688), ('C0039', 0.9999999113837613), ('C0095', 0.9999999100710667)]"
C0113,"[('C0165', 0.9999999717229382), ('C0169', 0.9999999655219816), ('C0147', 0.9999999542121984)]"
C0114,"[('C0064', 0.9999999768448335), ('C0105', 0.9999999758310837), ('C0054', 0.9999999755302581)]"
C0115,"[('C0140', 0.9999999729617165), ('C0096', 0.9999999709932652), ('C0066', 0.9999999474032718)]"
C0116,"[('C0024', 0.99999998810697), ('C0018', 0.9999999633352504), ('C0036', 0.9999999484159406)]"
C0117,"[('C0059', 0.9999999842457011), ('C0154', 0.9999999632723585), ('C0123', 0.999999961754521)]"
C0118,"[('C0006', 0.9999999958529029), ('C0126', 0.9999999953519073), ('C0171', 0.9999999953084681)]"
C0119,"[('C0197', 0.9999998291758859), ('C0199', 0.9999997693567155), ('C0019', 0.9999995750285852)]"
C0120,"[('C0001', 0.9999999863980915), ('C0192', 0.9999999706576406), ('C0102', 0.9999999175083508)]"
C0121,"[('C0111', 0.9999997317583462), ('C0010', 0.9999989848581033), ('C0094', 0.9999989829804796)]"
C0122,"[('C0046', 0.9999999995056021), ('C0125', 0.9999999902618265), ('C0139', 0.9999999847546102)]"
C0123,"[('C0054', 0.999999984085592), ('C0171', 0.999999979418631), ('C0126', 0.9999999759666874)]"
C0124,"[('C0017', 0.9999999714886582), ('C0166', 0.9999999602425521), ('C0086', 0.999999948723174)]"
C0125,"[('C0122', 0.9999999902618265), ('C0046', 0.9999999873370076), ('C0139', 0.9999999869218383)]"
C0126,"[('C0006', 0.9999999998071625), ('C0171', 0.9999999973933634), ('C0118', 0.9999999953519073)]"
C0127,"[('C0069', 0.9999999960123975), ('C0105', 0.999999986970693), ('C0167', 0.9999999414814902)]"
C0128,"[('C0110', 0.999999906515378), ('C0159', 0.9999996711007538), ('C0080', 0.9999995475875624)]"
C0129,"[('C0133', 0.9999999929370058), ('C0056', 0.999999899303415), ('C0191', 0.9999998884732172)]"
C0130,"[('C0095', 0.999999057116725), ('C0192', 0.9999984640796663), ('C0112', 0.9999983852021117)]"
C0131,"[('C0194', 0.9999999670853006), ('C0139', 0.9999999659742809), ('C0125', 0.9999999556498447)]"
C0132,"[('C0017', 0.999999940992627), ('C0124', 0.9999999167863077), ('C0081', 0.9999998985420876)]"
C0133,"[('C0129', 0.9999999929370058), ('C0056', 0.9999999384202), ('C0191', 0.9999999293650823)]"
C0134,"[('C0109', 0.9999999553493608), ('C0034', 0.9999998490967104), ('C0002', 0.9999998046317712)]"
C0135,"[('C0064', 0.9999999970375921), ('C0114', 0.9999999715584349), ('C0037', 0.9999999635645602)]"
C0136,"[('C0142', 0.9999999725556709), ('C0075', 0.999999953558728), ('C0027', 0.999999952394381)]"
C0137,"[('C0087', 0.999999988488591), ('C0155', 0.9999999837374094), ('C0011', 0.9999999824729728)]"
C0138,"[('C0059', 0.9999999874510772), ('C0170', 0.9999999790775704), ('C0021', 0.9999999784530741)]"
C0139,"[('C0194', 0.9999999940704267), ('C0125', 0.9999999869218383), ('C0046', 0.9999999867636551)]"
C0140,"[('C0115', 0.9999999729617165), ('C0050', 0.9999999252982411), ('C0096', 0.9999999197560675)]"
C0141,"[('C0040', 0.9999999830387477), ('C0023', 0.9999999736036194), ('C0074', 0.9999999643680092)]"
C0142,"[('C0075', 0.9999999774910613), ('C0027', 0.9999999733906941), ('C0136', 0.9999999725556709)]"
C0143,"[('C0145', 0.9999999999313128), ('C0093', 0.9999999932119603), ('C0200', 0.9999999927483043)]"
C0144,"[('C0029', 0.9999998157112698), ('C0034', 0.9999996254243204), ('C0134', 0.9999996161556325)]"
C0145,"[('C0143', 0.9999999999313128), ('C0200', 0.9999999940046332), ('C0093', 0.9999999923319518)]"
C0146,"[('C0007', 0.9999999999398864), ('C0114', 0.99999996170906), ('C0048', 0.9999999579151803)]"
C0147,"[('C0113', 0.9999999542121984), ('C0165', 0.9999999438282886), ('C0190', 0.9999999422888805)]"
C0148,"[('C0102', 0.9999999916031693), ('C0184', 0.9999999859898273), ('C0087', 0.9999999821590051)]"
C0149,"[('C0053', 0.999999998290751), ('C0200', 0.9999999731604355), ('C0145', 0.9999999709821672)]"
C0150,"[('C0129', 0.9999982409595584), ('C0133', 0.9999980379706566), ('C0107', 0.9999978965935576)]"
C0151,"[('C0077', 0.9999388665795572), ('C0121', 0.999932988933324), ('C0111', 0.999932290859557)]"
C0152,"[('C0118', 0.9999999554925812), ('C0104', 0.9999999510184727), ('C0171', 0.9999999505559278)]"
C0153,"[('C0011', 0.9999999935911742), ('C0191', 0.9999999887386479), ('C0012', 0.9999999803303015)]"
C0154,"[('C0117', 0.9999999632723585), ('C0054', 0.999999952833506), ('C0007', 0.9999999480622777)]"
C0155,"[('C0082', 0.9999999908615094), ('C0099', 0.9999999876451454), ('C0104', 0.9999999873979871)]"
C0156,"[('C0018', 0.9999999922769393), ('C0193', 0.9999999913466653), ('C0194', 0.9999999906638477)]"
C0157,"[('C0034', 0.9999997631584819), ('C0030', 0.999999744322865), ('C0176', 0.9999997438129432)]"
C0158,"[('C0187', 0.999999961759589), ('C0168', 0.9999999601534075), ('C0196', 0.9999999412361746)]"
C0159,"[('C0179', 0.9999999403554098), ('C0012', 0.9999999132382378), ('C0052', 0.9999999033341731)]"
C0160,"[('C0038', 0.9999999984559216), ('C0008', 0.9999999833233437), ('C0136', 0.9999999305211794)]"
C0161,"[('C0165', 0.9999999887574957), ('C0017', 0.9999999771342062), ('C0169', 0.9999999746929005)]"
C0162,"[('C0175', 0.9999999780834646), ('C0039', 0.9999999685238461), ('C0004', 0.9999999523776341)]"
C0163,"[('C0104', 0.9999999947546925), ('C0087', 0.9999999839197923), ('C0137', 0.9999999768959849)]"
C0164,"[('C0037', 0.9999999907071229), ('C0182', 0.9999999696300985), ('C0170', 0.9999999659028012)]"
C0165,"[('C0169', 0.9999999956171496), ('C0161', 0.9999999887574957), ('C0004', 0.9999999836163164)]"
C0166,"[('C0172', 0.9999999980347551), ('C0086', 0.9999999865480039), ('C0124', 0.9999999602425521)]"
C0167,"[('C0057', 0.999999975825569), ('C0135', 0.9999999517042342), ('C0182', 0.999999950403975)]"
C0168,"[('C0187', 0.9999999997664619), ('C0158', 0.9999999601534075), ('C0141', 0.9999999596181192)]"
C0169,"[('C0165', 0.9999999956171496), ('C0004', 0.9999999926262992), ('C0161', 0.9999999746929005)]"
C0170,"[('C0138', 0.9999999790775704), ('C0100', 0.9999999703572511), ('C0037', 0.9999999675902674)]"
C0171,"[('C0126', 0.9999999973933634), ('C0006', 0.9999999961651772), ('C0118', 0.9999999953084681)]"
C0172,"[('C0166', 0.9999999980347551), ('C0086', 0.9999999759707172), ('C0124', 0.9999999480063204)]"
C0173,"[('C0177', 0.9999999898576166), ('C0101', 0.9999999872868157), ('C0028', 0.9999999863776443)]"
C0174,"[('C0004', 0.9999999767394253), ('C0195', 0.9999999625600783), ('C0039', 0.9999999615118342)]"
C0175,"[('C0162', 0.9999999780834646), ('C0004', 0.9999999766547171), ('C0161', 0.9999999636691003)]"
C0176,"[('C0030', 0.9999999974686854), ('C0034', 0.9999999154025482), ('C0029', 0.9999998805948783)]"
C0177,"[('C0101', 0.9999999998549575), ('C0193', 0.9999999975906019), ('C0173', 0.9999999898576166)]"
C0178,"[('C0163', 0.9999999652685574), ('C0037', 0.9999999629088381), ('C0182', 0.999999961558449)]"
C0179,"[('C0070', 0.9999999614386722), ('C0081', 0.999999955365209), ('C0041', 0.999999952056728)]"
C0181,"[('C0190', 0.9999999761094421), ('C0039', 0.9999999684059613), ('C0084', 0.999999952424128)]"
C0182,"[('C0037', 0.9999999914797197), ('C0057', 0.999999973165785), ('C0164', 0.9999999696300985)]"
C0183,"[('C0022', 0.9999999596891128), ('C0117', 0.9999999567172376), ('C0067', 0.9999999530795773)]"
C0184,"[('C0048', 0.9999999908759066), ('C0148', 0.9999999859898273), ('C0102', 0.9999999659893052)]"
C0185,"[('C0016', 0.999999965000933), ('C0079', 0.9999999518613548), ('C0050', 0.9999999461077498)]"
C0186,"[('C0162', 0.9999999171416614), ('C0045', 0.9999999074890327), ('C0035', 0.9999999029706309)]"
C0187,"[('C0168', 0.9999999997664619), ('C0158', 0.999999961759589), ('C0141', 0.9999999572537633)]"
C0188,"[('C0054', 0.9999999894724341), ('C0171', 0.9999999879557325), ('C0082', 0.9999999865396164)]"
C0189,"[('C0116', 0.9999999131389274), ('C0036', 0.9999999117173931), ('C0195', 0.9999998879601125)]"
C0190,"[('C0181', 0.9999999761094421), ('C0147', 0.9999999422888805), ('C0084', 0.9999999197356934)]"
C0191,"[('C0153', 0.9999999887386479), ('C0011', 0.9999999809491615), ('C0012', 0.9999999709010686)]"
C0192,"[('C0112', 0.9999999743614688), ('C0120', 0.9999999706576406), ('C0001', 0.9999999261410728)]"
C0193,"[('C0101', 0.9999999986278706), ('C0177', 0.9999999975906019), ('C0156', 0.9999999913466653)]"
C0194,"[('C0139', 0.9999999940704267), ('C0156', 0.9999999906638477), ('C0018', 0.9999999881421884)]"
C0195,"[('C0004', 0.9999999639761942), ('C0174', 0.9999999625600783), ('C0052', 0.9999999576968253)]"
C0196,"[('C0141', 0.9999999623931016), ('C0074', 0.9999999497493299), ('C0044', 0.9999999448596693)]"
C0197,"[('C0199', 0.9999999926999852), ('C0073', 0.9999998476197465), ('C0119', 0.9999998291758859)]"
C0198,"[('C0009', 0.9999999901629574), ('C0061', 0.9999995479213535), ('C0103', 0.9999994839971467)]"
C0199,"[('C0197', 0.9999999926999852), ('C0132', 0.9999998462862216), ('C0084', 0.9999998321989346)]"
C0200,"[('C0145', 0.9999999940046332), ('C0143', 0.9999999927483043), ('C0092', 0.9999999915410165)]"
